customer_id,age,city,segment,signup_date,acquisition_channel,plan_type,has_mobile_app
1efb46eb,62,Monterrey,mid,2024-06-30,market_stand,basic,1
85aac01b,61,Edomex,mid,2024-02-07,organic,basic,1
0bc63cf5,32,CDMX,low,2024-03-24,ads,basic,0
a5989ef0,50,Edomex,low,2024-03-15,market_stand,basic,0
a522309d,26,Edomex,high,2024-12-22,ads,pro,0
17f1237d,57,Edomex,low,2024-05-26,market_stand,basic,1
e6b315b2,54,CDMX,mid,2024-11-17,organic,pro,1
8a3ce391,36,CDMX,high,2024-07-20,ads,basic,1
ea5923b8,21,Edomex,mid,2024-07-04,referral,basic,0
039ffdb1,68,Edomex,low,2024-12-09,market_stand,plus,1
dcb7260e,41,Querétaro,mid,2024-09-10,organic,plus,0
53bdda77,64,CDMX,low,2024-03-28,ads,basic,1
8ff3d710,53,CDMX,low,2024-04-13,referral,basic,1
f00f2100,58,CDMX,low,2024-08-31,social,plus,1
98cb4556,57,Edomex,high,2024-01-01,market_stand,basic,1
25a08a5d,28,Edomex,mid,2024-02-25,market_stand,plus,1
af47eda0,36,Guadalajara,low,2024-01-28,ads,plus,1
3c3bdd04,42,Querétaro,low,2024-09-18,referral,basic,0
764b16d0,43,CDMX,mid,2024-06-10,market_stand,plus,0
0cea0042,20,Guadalajara,high,2024-01-05,market_stand,basic,1
a18ab319,46,CDMX,low,2024-09-28,market_stand,pro,1
402a0bdf,26,CDMX,low,2024-08-28,market_stand,pro,1
863d27ed,56,Edomex,high,2024-09-20,market_stand,plus,0
b6bb56d4,53,CDMX,high,2024-02-29,organic,pro,0
640f54cf,65,Guadalajara,high,2024-11-16,ads,plus,1
499f3bcb,56,Guadalajara,low,2024-03-06,social,basic,1
46b880ab,37,Monterrey,low,2024-07-27,ads,basic,0
1d471822,68,Edomex,low,2024-07-23,organic,basic,0
600d6d33,39,Guadalajara,low,2024-03-21,ads,basic,1
fa87c49a,34,Edomex,high,2024-05-17,referral,plus,1
d0ea8486,65,CDMX,low,2024-01-20,market_stand,basic,1
779305a0,37,CDMX,mid,2024-06-21,market_stand,plus,0
35c1ecfa,21,Guadalajara,high,2024-09-04,organic,basic,1
71b35acb,42,Querétaro,high,2024-04-23,ads,basic,0
c05aee04,59,CDMX,mid,2024-07-15,organic,basic,1
6650f868,27,Edomex,high,2024-12-14,market_stand,pro,1
43ebb31e,42,Monterrey,low,2024-03-26,organic,basic,0
72ee33c1,24,Monterrey,low,2024-04-16,referral,basic,1
e784a2f2,53,Edomex,low,2024-02-13,referral,basic,1
1c88f411,42,Guadalajara,high,2024-07-17,referral,pro,1
d01df841,35,Guadalajara,high,2024-03-15,referral,basic,1
50955d80,29,Puebla,low,2024-11-08,market_stand,plus,0
5c234e4e,47,CDMX,low,2024-04-16,referral,basic,1
3cf99e23,52,Querétaro,low,2024-08-31,organic,basic,1
17607611,66,CDMX,low,2024-03-10,ads,plus,1
20b6c436,40,Monterrey,mid,2024-04-28,ads,plus,0
f7a0a1be,26,CDMX,low,2024-03-03,ads,plus,1
abab76f2,61,CDMX,mid,2024-07-21,market_stand,basic,1
5c3c218b,50,CDMX,mid,2024-01-11,ads,pro,1
7034e127,54,Edomex,low,2024-01-31,market_stand,plus,1
0fd9c772,23,CDMX,low,2024-07-02,organic,pro,0
8e9d8410,34,CDMX,high,2024-07-18,market_stand,basic,1
e0f9da1f,57,Edomex,mid,2024-04-30,organic,basic,0
c60d59d4,61,Edomex,low,2024-06-06,ads,basic,1
9a0d3bcc,40,Monterrey,low,2024-06-01,ads,plus,1
ee4b353e,59,Puebla,high,2024-10-04,referral,plus,0
3132e691,61,Guadalajara,mid,2024-06-12,organic,basic,1
2727ab94,38,CDMX,mid,2024-11-06,market_stand,basic,0
f3ec1689,64,CDMX,mid,2024-03-20,referral,basic,1
2d1d32aa,32,Puebla,high,2024-03-14,social,basic,1
ec031bab,30,CDMX,low,2024-05-27,market_stand,plus,1
c3c6c4b5,53,Edomex,mid,2024-01-30,referral,basic,1
79cf565d,51,Querétaro,low,2024-09-02,market_stand,basic,1
db1cd978,25,Querétaro,mid,2024-05-22,organic,basic,1
57bbdea1,61,Edomex,high,2024-05-14,referral,basic,1
b13601cb,28,Guadalajara,high,2024-07-14,ads,pro,1
9645a2d6,59,Edomex,mid,2024-01-31,market_stand,basic,0
57b9e335,18,Monterrey,mid,2024-05-17,organic,pro,0
3943853b,59,CDMX,high,2024-12-21,ads,plus,1
1f026fcc,58,CDMX,high,2024-08-18,referral,plus,1
5125d9f4,58,Guadalajara,mid,2024-07-29,ads,basic,1
ea912c49,52,CDMX,low,2024-07-04,organic,plus,1
6f471136,42,Guadalajara,low,2024-06-20,ads,plus,1
1c621350,54,Edomex,high,2024-12-08,market_stand,basic,1
e5496b04,32,Puebla,mid,2024-12-06,organic,pro,1
2d7639a8,58,Monterrey,mid,2024-05-29,ads,basic,1
f344ad98,46,Edomex,mid,2024-12-04,social,basic,1
1780a27a,41,Monterrey,low,2024-01-31,social,basic,1
495cce86,44,CDMX,low,2024-04-27,organic,plus,0
7e2e71e6,47,Edomex,mid,2024-04-20,ads,basic,1
0dde2f40,19,CDMX,low,2024-09-12,organic,basic,1
9df437b1,25,Puebla,mid,2024-08-09,social,basic,1
be0cd513,30,Monterrey,mid,2024-06-21,ads,basic,1
0b388ebd,23,Puebla,mid,2024-04-03,ads,basic,0
cc649179,40,Puebla,low,2024-07-04,ads,pro,0
403b3bf9,52,Querétaro,mid,2024-04-08,referral,basic,1
a03659fb,52,CDMX,low,2024-07-01,organic,pro,1
04145d1c,42,Querétaro,low,2024-05-04,market_stand,plus,1
6889f304,62,Edomex,low,2024-11-21,ads,plus,1
eb45756b,47,Edomex,low,2024-09-30,referral,pro,0
8871dd7d,22,Edomex,high,2024-03-05,market_stand,basic,0
db61a492,57,CDMX,high,2024-12-10,organic,plus,1
c5aa74f8,47,CDMX,low,2024-08-29,organic,basic,1
65cbe72a,51,CDMX,mid,2024-05-08,ads,basic,1
ac9b7a03,47,CDMX,mid,2024-07-13,market_stand,basic,0
e3d73e6f,46,Edomex,mid,2024-03-12,organic,plus,1
210253a8,22,Puebla,high,2024-01-18,market_stand,plus,1
cf83c3ca,47,Guadalajara,mid,2024-06-02,ads,basic,1
91aff1c8,59,Edomex,low,2024-10-13,referral,plus,1
57ca817e,33,Edomex,low,2024-05-08,referral,basic,1
86554af2,49,Edomex,low,2024-05-20,organic,basic,1
8c6c8cf6,19,CDMX,high,2024-12-28,organic,basic,1
d19ca383,36,Monterrey,mid,2024-12-27,market_stand,plus,1
e4ae0748,40,CDMX,low,2024-06-18,ads,basic,1
e9cdbf9d,69,Guadalajara,low,2024-01-17,referral,basic,1
eefef879,29,Monterrey,high,2024-09-05,social,basic,1
b0f4260e,32,Edomex,low,2024-09-18,organic,plus,1
580f92e3,39,Puebla,mid,2024-11-30,ads,plus,1
387c17d7,69,CDMX,mid,2024-12-12,ads,basic,1
b9f22868,62,Puebla,low,2024-08-18,organic,plus,1
05be9872,19,Monterrey,low,2024-02-09,social,plus,0
e69e7b77,30,Monterrey,low,2024-04-01,social,basic,1
fd9d049a,60,Guadalajara,low,2024-09-19,ads,basic,1
06dcd71f,21,Puebla,mid,2024-08-10,social,pro,1
ee8e8470,62,Querétaro,mid,2024-06-08,organic,basic,1
45214f60,32,Edomex,low,2024-05-27,social,basic,0
b36b0096,65,Monterrey,mid,2024-09-16,market_stand,pro,1
01d8096d,33,Monterrey,low,2024-06-03,organic,plus,1
26997313,40,Edomex,low,2024-02-26,referral,plus,1
2b5d9b25,52,Querétaro,mid,2024-12-24,market_stand,plus,0
a7eeb053,24,Edomex,mid,2024-05-07,ads,basic,0
d89c09ed,46,Edomex,mid,2024-04-11,ads,plus,0
7c3a7a15,44,CDMX,low,2024-01-26,referral,basic,0
06a967c6,58,CDMX,mid,2024-06-20,organic,pro,1
f0422828,69,Puebla,low,2024-12-26,organic,basic,1
f8e3df3f,52,Edomex,high,2024-02-28,organic,basic,1
2adc15a2,39,Edomex,mid,2024-03-30,market_stand,basic,1
bf6a65ec,39,CDMX,high,2024-03-06,ads,plus,0
d839ddf2,39,Edomex,low,2024-02-04,ads,basic,1
de2fe353,60,Monterrey,low,2024-08-08,organic,plus,1
ea4090a3,34,Puebla,mid,2024-04-19,organic,basic,1
e99116e8,26,CDMX,low,2024-10-01,referral,basic,1
9ec69520,35,Edomex,mid,2024-05-26,organic,plus,1
2d845f0a,19,Edomex,mid,2024-08-20,referral,basic,1
bad3389e,23,Guadalajara,high,2024-02-02,ads,plus,0
d4cbee8b,22,Edomex,low,2024-04-30,referral,pro,1
c4d3f240,58,Edomex,high,2024-05-31,ads,plus,1
a0e504f6,55,Edomex,low,2024-01-22,market_stand,basic,1
bb69b341,54,Edomex,low,2024-06-02,organic,basic,0
ea2ea0cb,42,Edomex,mid,2024-06-21,market_stand,pro,1
cd3498d1,55,Edomex,low,2024-05-27,ads,plus,1
803b7464,26,Monterrey,high,2024-07-03,organic,plus,0
e2e742c6,64,Monterrey,high,2024-10-18,referral,basic,1
a7caf053,44,CDMX,high,2024-10-09,organic,plus,1
876a68f4,66,Monterrey,high,2024-01-06,ads,basic,1
218f392e,25,Puebla,mid,2024-08-22,market_stand,plus,0
f72821d1,43,CDMX,low,2024-11-26,market_stand,pro,0
17e0015c,54,Edomex,high,2024-11-14,referral,pro,1
e18c2545,43,CDMX,low,2024-04-28,social,basic,1
1fa32a7a,41,Monterrey,mid,2024-10-13,ads,plus,1
6715494e,26,CDMX,low,2024-10-20,organic,basic,0
03fd2b69,37,Guadalajara,mid,2024-05-13,market_stand,basic,1
43d80549,30,CDMX,low,2024-11-14,organic,plus,1
d4b0665e,33,Edomex,low,2024-08-19,organic,basic,0
cfe658c5,53,Querétaro,low,2024-10-01,organic,basic,0
bb152ea4,50,Edomex,low,2024-09-30,ads,plus,0
5594163d,49,Puebla,low,2024-10-12,ads,plus,0
31f2d3b9,36,Querétaro,low,2024-12-16,ads,plus,1
b8a80b93,67,Puebla,low,2024-11-09,referral,basic,1
d4f26718,22,CDMX,mid,2024-06-03,market_stand,plus,1
351ba610,35,Monterrey,low,2024-07-24,social,basic,1
a9d9c60b,24,CDMX,mid,2024-08-25,organic,basic,1
05ab4f2b,35,Edomex,low,2024-11-09,organic,basic,0
6f485161,68,Puebla,mid,2024-05-23,referral,plus,0
5d18a860,37,Guadalajara,low,2024-04-24,organic,basic,0
e1d8eef4,65,Edomex,mid,2024-09-27,ads,basic,1
1ef83f54,43,Edomex,mid,2024-12-15,referral,pro,1
66324220,54,Monterrey,mid,2024-11-29,market_stand,pro,1
e66ce67f,41,Guadalajara,low,2024-02-24,organic,plus,1
54e1b707,31,Edomex,mid,2024-12-02,referral,plus,0
fcebc57a,57,Puebla,low,2024-10-15,referral,pro,1
59f3ad4c,68,CDMX,low,2024-02-27,market_stand,plus,1
3bf60f3b,31,CDMX,low,2024-01-03,ads,basic,1
2fb4fbde,58,Guadalajara,mid,2024-03-15,market_stand,plus,1
36d380d1,31,Querétaro,low,2024-12-06,market_stand,pro,0
fba7bd41,55,CDMX,mid,2024-10-03,organic,plus,1
15c893f4,59,CDMX,low,2024-07-29,referral,basic,1
3f85430e,41,CDMX,low,2024-08-18,referral,pro,1
c01e3775,56,Puebla,low,2024-05-31,ads,plus,0
bf3bd1b6,32,CDMX,low,2024-11-27,ads,basic,0
80eb5178,22,Edomex,mid,2024-02-27,ads,pro,1
edadb25c,23,Querétaro,mid,2024-04-24,market_stand,plus,1
d9d52085,41,CDMX,mid,2024-03-14,organic,plus,0
d3d654cf,64,Edomex,low,2024-11-06,ads,pro,0
8ed7ff84,24,Edomex,low,2024-07-16,organic,basic,1
ab94efe1,41,Monterrey,high,2024-09-07,referral,plus,1
9947a540,54,Edomex,low,2024-12-02,referral,basic,1
fa25c42c,28,Edomex,low,2024-03-12,ads,pro,0
704a10be,55,CDMX,high,2024-12-18,ads,pro,1
b9e42b1d,33,Monterrey,low,2024-02-16,ads,plus,1
70fd2781,60,Monterrey,low,2024-10-03,ads,plus,1
5b0242f8,48,CDMX,low,2024-09-14,market_stand,plus,1
914eb2cf,46,Edomex,mid,2024-10-29,organic,basic,1
aebd42ce,27,Puebla,low,2024-02-27,market_stand,basic,0
63519bb5,42,CDMX,mid,2024-12-17,referral,basic,1
adebc02a,62,CDMX,low,2024-10-17,market_stand,plus,1
9b321851,19,Edomex,low,2024-02-10,ads,plus,1
63260eac,57,CDMX,low,2024-07-22,ads,plus,1
47be08f1,43,CDMX,mid,2024-10-26,organic,basic,0
03b80025,55,Edomex,low,2024-06-23,social,plus,1
7b58079d,52,CDMX,mid,2024-05-19,referral,basic,1
b1a16482,40,Edomex,low,2024-04-10,referral,pro,0
22c55625,34,Guadalajara,low,2024-07-07,market_stand,pro,1
95a4ad04,50,Edomex,low,2024-12-26,ads,basic,1
c3152a60,25,CDMX,mid,2024-08-10,referral,plus,1
2bf62641,48,Puebla,low,2024-09-21,market_stand,basic,1
2ce80def,22,CDMX,mid,2024-10-12,organic,basic,0
61322beb,51,Monterrey,high,2024-10-11,social,plus,1
53faebd4,50,Edomex,mid,2024-05-26,market_stand,plus,0
d963f99c,22,Monterrey,mid,2024-10-08,social,basic,1
6f0ac4a9,57,CDMX,mid,2024-04-30,market_stand,basic,1
ab13e21a,39,CDMX,mid,2024-08-01,ads,basic,1
b9ad5aab,58,Edomex,low,2024-04-20,referral,basic,0
304b4a33,20,CDMX,mid,2024-12-09,organic,basic,1
c296637f,27,CDMX,high,2024-09-24,market_stand,basic,1
f21140fc,43,Monterrey,low,2024-08-01,organic,pro,1
16b87623,27,Monterrey,high,2024-06-14,market_stand,basic,1
83332e97,35,CDMX,mid,2024-07-09,organic,basic,1
2a7dd23d,52,Puebla,low,2024-10-12,organic,basic,1
d41b8475,25,Monterrey,high,2024-04-10,organic,basic,0
cf130fd0,53,Puebla,low,2024-10-30,market_stand,plus,0
e30cf5da,23,Guadalajara,low,2024-04-13,organic,basic,0
dbf062b9,27,Guadalajara,low,2024-02-21,organic,basic,1
b6fdaccb,48,Edomex,mid,2024-09-26,organic,pro,1
cbe0af4c,59,Guadalajara,low,2024-09-16,ads,plus,0
df83cf42,26,Puebla,high,2024-05-02,social,basic,0
336dfcd1,33,CDMX,low,2024-08-25,ads,basic,1
3020f594,66,CDMX,low,2024-09-23,ads,plus,1
a2bb74c1,69,CDMX,mid,2024-10-15,organic,plus,1
cac1110a,48,Querétaro,low,2024-12-14,organic,pro,1
6ef31aac,41,Edomex,mid,2024-11-08,ads,basic,1
506a92e8,36,Guadalajara,low,2024-06-09,organic,plus,1
2c59b03b,49,Puebla,high,2024-03-25,organic,basic,1
c521e443,48,Querétaro,mid,2024-02-05,organic,basic,1
89566fa6,33,CDMX,low,2024-07-29,ads,plus,1
82c26fd2,19,Monterrey,low,2024-08-31,market_stand,plus,1
17d532ed,25,Puebla,low,2024-09-09,organic,basic,1
2da18ecb,67,CDMX,high,2024-01-04,referral,basic,1
c099b857,39,Monterrey,mid,2024-09-13,referral,plus,0
f9402d3a,43,Edomex,low,2024-10-15,market_stand,basic,1
829fdbdf,42,Guadalajara,low,2024-09-21,organic,basic,1
035b6f10,58,Edomex,high,2024-07-11,market_stand,basic,1
2cfe2ac4,21,CDMX,low,2024-01-06,market_stand,basic,1
e69cab5d,22,CDMX,mid,2024-06-28,social,plus,1
df4d905c,32,CDMX,mid,2024-08-23,market_stand,basic,1
30ac251c,43,CDMX,low,2024-07-27,organic,basic,1
5cced877,52,Guadalajara,mid,2024-07-29,social,plus,0
1e694891,43,Edomex,low,2024-07-08,market_stand,basic,0
f17d328b,40,CDMX,low,2024-07-21,organic,plus,1
da6d6298,66,Guadalajara,high,2024-04-28,organic,basic,1
61403b01,26,Guadalajara,mid,2024-08-09,social,plus,1
0e6e0b7b,47,Edomex,mid,2024-04-13,organic,plus,1
a2156c25,46,Querétaro,mid,2024-06-28,market_stand,plus,0
bb27b1fb,42,Edomex,low,2024-05-31,ads,basic,1
1187a52d,59,Monterrey,mid,2024-09-18,market_stand,plus,1
46cbb5eb,31,CDMX,mid,2024-11-23,organic,plus,1
5e82e488,67,Monterrey,low,2024-08-19,market_stand,basic,1
ae056219,35,Querétaro,low,2024-02-19,ads,basic,1
3beaede3,46,Puebla,mid,2024-09-01,social,basic,1
fa491787,45,Edomex,mid,2024-04-28,organic,basic,1
3c3b461c,62,Guadalajara,low,2024-01-19,organic,basic,0
17d7c4cb,40,Edomex,high,2024-03-11,organic,pro,0
c71a1a8a,32,Guadalajara,low,2024-12-31,organic,pro,0
6bd5612e,19,Monterrey,low,2024-06-05,social,basic,1
b59a9a24,36,Querétaro,low,2024-03-14,organic,pro,1
53dd7234,60,Edomex,mid,2024-02-18,organic,plus,1
54209a18,18,CDMX,low,2024-08-26,market_stand,basic,1
061e96ac,64,Edomex,low,2024-10-05,organic,pro,0
09e1c5ab,46,CDMX,low,2024-05-09,organic,plus,0
7d43311c,25,CDMX,mid,2024-02-07,referral,plus,1
084634bb,33,CDMX,mid,2024-05-09,ads,basic,1
aad9067b,46,Monterrey,low,2024-08-31,market_stand,basic,1
cdd3e52e,34,CDMX,high,2024-02-11,referral,pro,1
12f35e9d,23,CDMX,low,2024-04-07,ads,basic,1
58a2c98c,52,CDMX,low,2024-01-01,referral,basic,1
e1ee8ff4,52,Puebla,mid,2024-06-21,market_stand,basic,1
9a5c1bb9,24,Guadalajara,mid,2024-03-03,ads,basic,1
2c53d467,32,CDMX,low,2024-03-14,market_stand,basic,0
cd1a06e1,30,CDMX,mid,2024-02-11,ads,pro,1
7da8859f,52,Edomex,low,2024-09-24,ads,basic,1
bb2dbe2f,55,CDMX,mid,2024-06-28,market_stand,pro,0
5557f8a6,55,Edomex,mid,2024-12-13,organic,plus,0
cfa58fd9,66,Edomex,high,2024-05-24,ads,basic,1
2026621d,57,Querétaro,low,2024-03-22,organic,basic,0
993ed649,34,CDMX,mid,2024-03-15,market_stand,basic,1
a76fcf7c,23,Guadalajara,mid,2024-12-14,referral,pro,1
f1a19c92,49,CDMX,low,2024-08-03,ads,plus,1
39ff495d,65,Querétaro,low,2024-04-29,organic,basic,0
6e36d872,68,Querétaro,high,2024-08-27,social,pro,1
8883b794,29,Monterrey,low,2024-07-23,ads,plus,1
5c513fcf,30,Edomex,mid,2024-02-12,ads,basic,1
0b28aabb,19,CDMX,low,2024-09-13,organic,plus,1
641628a1,25,Monterrey,mid,2024-02-13,referral,plus,0
a8a95d63,46,Monterrey,low,2024-03-13,ads,plus,1
d139694f,46,CDMX,high,2024-09-18,market_stand,basic,1
f6c58f31,37,Edomex,mid,2024-06-11,referral,basic,1
775d87eb,34,Edomex,low,2024-03-22,organic,basic,1
af03c264,61,Monterrey,mid,2024-01-25,referral,basic,1
b20c2f20,41,Guadalajara,mid,2024-08-05,organic,basic,1
36cec633,60,Guadalajara,low,2024-09-12,organic,plus,1
cb4ffac6,68,Guadalajara,low,2024-03-15,referral,basic,0
1aa11a40,34,CDMX,mid,2024-06-01,organic,basic,1
fb8877c1,28,Edomex,mid,2024-05-05,market_stand,plus,1
02481f99,67,CDMX,low,2024-11-22,referral,basic,1
0ac78f39,51,Monterrey,high,2024-10-16,organic,basic,1
2d8948f9,33,Edomex,low,2024-04-10,social,plus,0
3878f59a,50,Edomex,low,2024-07-06,ads,pro,0
c7095132,44,CDMX,mid,2024-12-04,organic,basic,0
b5c0d0ef,65,CDMX,low,2024-05-06,ads,pro,1
2790c63b,31,Edomex,low,2024-02-21,social,pro,0
12fcd9b4,69,CDMX,mid,2024-04-19,ads,plus,0
bc530cbc,66,CDMX,low,2024-08-10,ads,pro,1
9365f703,27,Monterrey,low,2024-12-29,ads,basic,1
2fe44efc,26,Edomex,mid,2024-04-22,ads,basic,1
f18de557,45,Edomex,mid,2024-01-22,organic,plus,0
572bb488,20,Edomex,mid,2024-03-07,referral,basic,0
001d7f91,33,Monterrey,mid,2024-05-30,market_stand,basic,1
6004f658,40,CDMX,low,2024-02-04,market_stand,basic,1
bfd1081d,68,Monterrey,low,2024-01-13,organic,basic,1
8a9fc808,69,Querétaro,mid,2024-08-27,ads,basic,1
18c02675,25,Guadalajara,low,2024-10-28,organic,basic,1
9de07a7b,64,Edomex,low,2024-03-26,ads,pro,1
6d79bcbe,22,Monterrey,mid,2024-07-10,referral,basic,1
4f91f541,56,Edomex,mid,2024-07-28,ads,plus,0
813563e8,61,Edomex,mid,2024-09-01,market_stand,basic,1
6e4bb4f3,64,Edomex,low,2024-12-24,ads,basic,1
8b8cfbae,29,CDMX,low,2024-11-19,referral,pro,0
ddcf8cd9,64,CDMX,low,2024-04-25,market_stand,basic,1
1b12ecb6,24,Edomex,mid,2024-12-23,referral,basic,1
ffed9272,44,CDMX,low,2024-01-13,market_stand,plus,1
2a8e5861,42,Edomex,low,2024-12-18,market_stand,basic,1
590b5a1d,34,Edomex,low,2024-02-22,referral,basic,1
fed9897f,19,Querétaro,mid,2024-02-11,ads,pro,1
8944763e,58,CDMX,mid,2024-02-13,ads,basic,1
deba0a0a,35,Guadalajara,low,2024-02-14,market_stand,plus,1
9dcac3e2,52,Edomex,low,2024-06-18,organic,basic,0
874f3e3e,39,CDMX,low,2024-08-22,social,basic,0
54dea07e,37,CDMX,low,2024-09-29,ads,basic,0
f12372e3,64,CDMX,mid,2024-01-06,market_stand,plus,0
e2786463,22,CDMX,low,2024-04-18,ads,basic,1
e658955d,56,CDMX,mid,2024-02-18,social,pro,1
c6d14ffd,56,Edomex,mid,2024-02-23,organic,plus,1
5addb657,37,Edomex,high,2024-09-30,ads,plus,1
475ebb6f,31,CDMX,high,2024-08-22,market_stand,basic,0
71f8a98c,18,CDMX,low,2024-03-17,ads,plus,1
8a6fcd72,66,CDMX,low,2024-04-20,ads,plus,1
c11bc1a0,67,Edomex,low,2024-12-04,market_stand,basic,0
1c8d0bdb,30,CDMX,mid,2024-07-29,market_stand,pro,0
0071569a,19,Edomex,low,2024-03-28,organic,basic,1
99f0a962,24,CDMX,low,2024-12-07,referral,pro,1
f56cbd2e,21,CDMX,low,2024-03-13,organic,pro,1
64deb5c7,61,Querétaro,low,2024-04-16,organic,basic,1
42b7301d,64,CDMX,mid,2024-09-10,referral,basic,1
b9f188f8,25,CDMX,mid,2024-07-06,organic,basic,1
8314e811,56,CDMX,mid,2024-01-26,ads,basic,1
9d964f1d,27,Querétaro,high,2024-10-22,ads,plus,1
84ded41c,37,Guadalajara,low,2024-03-24,market_stand,basic,0
fa03c9e3,49,Guadalajara,low,2024-09-10,referral,plus,1
dcf82fa4,55,Querétaro,low,2024-05-02,organic,pro,1
d068e800,63,CDMX,mid,2024-10-02,social,pro,1
02ec745c,20,Querétaro,mid,2024-11-24,market_stand,basic,1
9e07a180,28,CDMX,low,2024-10-09,ads,pro,1
f6e67450,32,Guadalajara,high,2024-12-03,social,basic,1
5b95918d,34,Edomex,low,2024-07-16,ads,basic,1
5deb382f,69,Edomex,low,2024-01-24,ads,basic,1
c75127ce,58,Querétaro,mid,2024-07-15,ads,plus,1
fcf6dd76,34,CDMX,high,2024-06-17,organic,basic,1
f76ce577,68,Querétaro,mid,2024-09-20,referral,basic,1
7315a91b,43,Edomex,high,2024-04-01,referral,basic,1
0b27b7b2,44,Guadalajara,low,2024-09-12,market_stand,pro,1
33c2df82,40,Querétaro,mid,2024-06-10,organic,plus,1
178c4298,25,CDMX,mid,2024-09-02,organic,plus,1
5f3543a2,66,Querétaro,mid,2024-06-02,ads,plus,1
acd31abf,18,Edomex,low,2024-05-19,organic,basic,1
0626fbea,27,Guadalajara,high,2024-03-19,social,basic,1
df17cb52,29,CDMX,low,2024-10-30,market_stand,basic,1
052a0555,32,Edomex,low,2024-01-26,market_stand,basic,1
f103df11,24,Guadalajara,high,2024-03-27,market_stand,pro,1
918e3f73,18,Edomex,high,2024-06-05,organic,basic,1
7ebf75e6,53,CDMX,high,2024-02-26,organic,plus,1
db12edb2,68,CDMX,high,2024-12-01,ads,plus,1
3538d94f,24,Puebla,low,2024-05-06,market_stand,pro,1
d593ed11,33,CDMX,high,2024-03-29,ads,basic,1
f104d0f4,44,Guadalajara,low,2024-04-02,organic,pro,1
1990851d,66,Querétaro,mid,2024-03-11,referral,plus,1
237bed6b,54,CDMX,low,2024-08-30,organic,basic,1
3ec362c8,57,CDMX,mid,2024-06-25,ads,plus,1
58926ac5,48,Guadalajara,mid,2024-03-25,organic,basic,1
5f7d9bf5,39,CDMX,mid,2024-11-15,ads,plus,0
24844a1c,28,Edomex,low,2024-08-28,ads,plus,1
5f377da1,62,Guadalajara,low,2024-05-27,market_stand,plus,1
d6edaf24,59,Edomex,low,2024-07-06,market_stand,pro,1
78c6fdb5,19,Edomex,low,2024-08-28,organic,plus,0
c38a3e3a,55,Guadalajara,mid,2024-02-25,market_stand,basic,1
5edba500,22,Edomex,low,2024-10-22,market_stand,basic,1
0a0f0d00,56,CDMX,mid,2024-04-04,referral,pro,0
7122e7c8,60,Edomex,low,2024-01-11,social,plus,1
503b35ab,24,Puebla,low,2024-07-09,market_stand,pro,1
a0333642,40,Guadalajara,mid,2024-11-16,organic,basic,1
5e4a5f4e,24,Edomex,low,2024-09-25,ads,basic,1
9560d333,47,CDMX,low,2024-04-22,ads,pro,0
2e66d0f1,66,CDMX,low,2024-05-25,ads,plus,1
7e135589,22,CDMX,low,2024-08-06,social,basic,0
