ticket_id,customer_id,open_date,resolution_hours,satisfaction_score
c32fcda0-c,e18c2545,2024-10-01,59.0,8
56a6a713-3,e18c2545,2024-09-11,32.3,8
dadb6fb8-9,e18c2545,2024-12-20,31.0,8
b5a38805-a,03fd2b69,2024-02-10,17.2,8
700ee4dd-4,03fd2b69,2024-03-24,61.2,7
d84608c6-b,03fd2b69,2024-01-20,29.7,5
72c7f10f-6,bb152ea4,2024-04-15,52.0,8
4ddddcc6-7,bb152ea4,2024-04-02,34.0,6
6f079ea3-f,a9d9c60b,2024-11-30,23.0,10
34848837-8,a9d9c60b,2024-12-26,22.9,7
2fd37ecc-e,a9d9c60b,2024-01-03,52.8,7
71670cd5-7,e1d8eef4,2024-06-02,8.8,3
5c5dafd4-8,e1d8eef4,2024-12-05,21.5,10
5e493152-5,e1d8eef4,2024-07-11,18.7,1
8c6c3853-e,e66ce67f,2024-08-18,28.9,8
adc468d3-e,e66ce67f,2024-07-12,1.0,3
f0af2938-4,3bf60f3b,2024-04-20,6.3,5
6ea717f2-5,3bf60f3b,2024-01-25,20.3,9
6780de9c-b,3bf60f3b,2024-07-02,44.2,7
a8a7e9bf-f,36d380d1,2024-09-14,36.7,6
62e7ea45-a,36d380d1,2024-11-15,21.8,7
a4a88931-5,36d380d1,2024-12-25,54.9,7
591b4bda-b,15c893f4,2024-05-09,19.4,6
18f080ff-7,15c893f4,2024-11-05,44.9,5
6668b826-c,3f85430e,2024-04-24,29.4,5
f5199712-6,3f85430e,2024-12-01,14.2,6
0b495eac-6,bf3bd1b6,2024-04-27,41.7,9
3dd8b7f8-f,d3d654cf,2024-11-30,42.8,5
03ae9dac-0,d3d654cf,2024-04-20,3.4,3
6ba66323-d,9947a540,2024-07-26,25.7,8
c72725d6-9,704a10be,2024-08-01,2.2,8
a84d0c82-1,704a10be,2024-08-18,21.9,10
4eba215b-b,704a10be,2024-05-28,37.2,9
2590dede-4,5b0242f8,2024-01-17,38.2,8
6951d819-2,5b0242f8,2024-10-11,31.1,9
cf487fd7-d,914eb2cf,2024-05-07,10.0,9
182b48ec-3,aebd42ce,2024-01-31,10.6,6
3e078e25-c,adebc02a,2024-01-06,34.3,5
e4304ffb-f,63260eac,2024-06-23,36.4,9
3ec8f3dc-c,63260eac,2024-05-06,38.4,5
30f394a0-b,47be08f1,2024-08-18,0.1,8
568daf4d-9,7b58079d,2024-07-06,31.5,7
b074d847-a,7b58079d,2024-09-24,20.7,5
9620f764-4,95a4ad04,2024-08-05,0.5,6
06fbeb2a-2,2bf62641,2024-03-31,30.4,8
d6f67e73-2,2bf62641,2024-08-06,6.4,9
52f5340c-9,2ce80def,2024-04-20,38.5,4
892c630c-3,d963f99c,2024-06-29,39.2,3
ff2030d6-c,d963f99c,2024-12-14,46.0,8
a1822f8e-f,ab13e21a,2024-01-10,19.9,7
55b47812-0,304b4a33,2024-11-20,36.6,7
0ba0d4a7-9,304b4a33,2024-01-01,35.5,5
081b8c14-4,304b4a33,2024-04-20,42.6,5
dbb8ca78-f,d41b8475,2024-01-13,1.3,4
efef80ed-9,d41b8475,2024-10-25,7.6,7
6f194f93-1,cf130fd0,2024-07-10,3.3,8
280edea7-6,cf130fd0,2024-01-11,34.6,9
664397db-4,e30cf5da,2024-09-14,25.8,8
1bf3ff59-c,e30cf5da,2024-06-21,38.5,7
cde9eb60-a,cbe0af4c,2024-01-05,5.6,9
3ad2d790-0,cbe0af4c,2024-08-19,23.7,6
a196f38b-7,cbe0af4c,2024-08-23,0.5,5
2977bf86-f,336dfcd1,2024-04-11,30.8,5
3dbee159-3,336dfcd1,2024-04-20,32.0,6
368b5305-9,336dfcd1,2024-12-22,14.3,6
0102c3e8-8,3020f594,2024-03-29,16.2,3
05d6a93c-8,3020f594,2024-04-17,5.1,6
2b51f877-4,3020f594,2024-11-18,0.0,4
d1d8db67-7,cac1110a,2024-09-12,27.8,4
ebee3690-4,cac1110a,2024-06-06,4.8,8
f407e7ee-4,cac1110a,2024-03-04,28.8,10
23adda5c-f,506a92e8,2024-02-22,51.4,8
9a753c1f-d,506a92e8,2024-09-16,13.9,6
8a484356-8,f9402d3a,2024-08-07,44.2,6
a182d28c-4,f9402d3a,2024-12-10,2.9,3
a3d2092b-8,035b6f10,2024-08-19,10.1,4
4da1fc2c-f,035b6f10,2024-10-02,38.2,10
a40e2e84-f,035b6f10,2024-02-29,15.3,8
aa8ad219-0,2cfe2ac4,2024-08-17,16.8,8
9e6965ce-6,2cfe2ac4,2024-04-10,39.4,6
da49f3fb-7,2cfe2ac4,2024-05-18,24.3,4
ab593ee6-c,e69cab5d,2024-05-19,49.2,4
226b9d4d-e,df4d905c,2024-06-27,0.7,8
15a85a83-4,30ac251c,2024-03-20,53.1,7
6950c081-e,1e694891,2024-01-19,42.1,4
1fbc87d8-d,1e694891,2024-03-05,18.7,8
56914a37-5,1e694891,2024-04-26,44.3,5
b00b16d2-3,3c3b461c,2024-04-09,1.0,6
1164caf3-0,3c3b461c,2024-03-14,23.1,5
ae207870-0,3c3b461c,2024-12-11,23.9,6
8c97b064-0,17d7c4cb,2024-12-03,40.7,7
3cfe0be6-a,6bd5612e,2024-02-02,34.8,4
eebe06b4-d,6bd5612e,2024-03-02,31.1,5
4992771f-e,53dd7234,2024-04-05,38.4,1
52ed44e1-3,53dd7234,2024-03-12,9.8,6
b7495cf0-c,53dd7234,2024-02-24,35.1,6
7a680e04-8,54209a18,2024-07-02,2.2,7
e27eb7ca-f,54209a18,2024-01-05,0.6,7
356a5044-3,061e96ac,2024-08-19,24.8,9
fa9bda2a-5,061e96ac,2024-03-20,31.9,7
94a84d8d-2,09e1c5ab,2024-07-08,68.6,7
4e713dd1-b,084634bb,2024-10-18,9.7,6
c9db66c9-7,084634bb,2024-06-03,24.3,3
7d1ddb56-e,084634bb,2024-06-18,18.8,9
27a87260-2,aad9067b,2024-09-24,13.2,5
0c930cde-e,12f35e9d,2024-06-29,60.9,9
8471203b-0,cd1a06e1,2024-10-26,11.1,8
84b9a8e9-5,cd1a06e1,2024-07-11,21.2,8
61486faa-9,cd1a06e1,2024-09-30,61.7,9
edc61f8f-8,7da8859f,2024-09-18,10.7,6
2022feae-0,7da8859f,2024-11-26,8.4,4
823e37e6-c,7da8859f,2024-09-02,55.0,7
b5f15119-d,993ed649,2024-01-13,10.4,4
9037751a-9,8883b794,2024-08-05,7.6,6
c9fce212-1,5c513fcf,2024-09-05,14.0,5
01cf212c-f,5c513fcf,2024-10-04,16.0,5
66ff565c-c,5c513fcf,2024-03-18,11.6,5
c83adba8-0,0b28aabb,2024-05-24,20.7,6
c75f450f-9,0b28aabb,2024-07-18,51.7,9
998a0143-c,0b28aabb,2024-03-23,48.9,8
748d87cf-7,1aa11a40,2024-05-11,8.9,6
a3061979-7,1aa11a40,2024-09-06,40.3,7
80b193bc-8,fb8877c1,2024-06-05,39.4,8
1d645c12-4,fb8877c1,2024-11-05,2.8,8
9ff2db26-c,fb8877c1,2024-02-20,29.4,5
09e2ef50-4,02481f99,2024-06-24,12.2,3
92c3aa2d-1,0ac78f39,2024-05-07,36.2,6
47f02556-5,0ac78f39,2024-02-22,34.4,5
e3ca1333-2,2d8948f9,2024-01-01,16.8,7
bf12a8f5-b,3878f59a,2024-09-04,37.4,7
b166dccd-3,c7095132,2024-03-06,34.0,8
b91945ed-5,b5c0d0ef,2024-02-09,27.3,7
08ed1203-e,bc530cbc,2024-02-22,45.5,4
b7ca0b97-c,bc530cbc,2024-07-11,4.3,6
40c4362c-2,bc530cbc,2024-08-16,29.2,4
cf0f9af2-d,f18de557,2024-07-29,40.7,9
d1b9bf0c-9,001d7f91,2024-08-01,11.1,3
bd86bc0c-8,001d7f91,2024-06-26,18.0,8
5abab172-e,bfd1081d,2024-04-01,33.9,5
9312f233-6,8a9fc808,2024-01-28,24.6,4
58a4d579-8,8a9fc808,2024-08-14,41.6,4
7e509d21-d,18c02675,2024-02-13,5.9,8
96cf8011-7,18c02675,2024-03-12,7.9,7
b7473bba-7,9de07a7b,2024-08-02,40.5,8
221897dd-5,9de07a7b,2024-07-08,41.9,7
3268250b-6,9de07a7b,2024-10-22,18.2,9
a0e75c7c-b,4f91f541,2024-10-04,23.7,8
d3250e78-d,2a8e5861,2024-08-13,17.5,6
7fa7be1a-c,2a8e5861,2024-11-28,15.8,7
3723980b-b,8944763e,2024-05-19,2.6,7
9aca5c64-1,8944763e,2024-05-12,45.6,4
a0b38cfa-5,deba0a0a,2024-08-01,33.8,10
6aef38e3-a,deba0a0a,2024-03-25,38.5,5
83ebe44f-7,9dcac3e2,2024-07-06,35.3,3
03adab15-6,9dcac3e2,2024-05-17,29.4,8
9db908d4-e,874f3e3e,2024-10-31,13.2,9
591deb48-8,54dea07e,2024-09-29,7.3,3
d73f8d6b-0,f12372e3,2024-07-27,23.7,9
3097f260-9,f12372e3,2024-03-24,24.0,7
17cae7ef-c,f12372e3,2024-10-04,3.0,6
55eb6904-1,e2786463,2024-12-30,18.9,10
735c381e-e,e2786463,2024-12-09,8.7,9
0c90389a-a,e2786463,2024-11-23,7.8,7
aabff44b-4,e658955d,2024-03-28,29.8,8
6d51688b-9,e658955d,2024-04-28,24.2,6
cb928263-1,c6d14ffd,2024-03-23,18.1,6
f2dbab1c-1,c6d14ffd,2024-10-19,2.1,8
06c11d8d-7,c6d14ffd,2024-10-24,24.8,6
57021bac-e,5addb657,2024-12-19,23.8,7
4f2edfd9-f,71f8a98c,2024-09-03,34.8,7
f316d586-4,71f8a98c,2024-07-06,50.0,7
2793d32a-9,8a6fcd72,2024-09-18,11.3,6
596ca03d-8,0071569a,2024-03-18,36.7,5
d2c5be44-e,0071569a,2024-07-24,47.8,6
ea769a0c-8,b9f188f8,2024-12-23,38.8,7
b63d2822-7,b9f188f8,2024-02-27,25.9,6
950a5091-2,8314e811,2024-05-10,28.2,8
51ab1bb0-0,8314e811,2024-07-26,15.4,6
899a7bf4-1,9e07a180,2024-07-11,39.4,9
6f398368-9,c75127ce,2024-02-10,17.7,6
c298c187-d,f76ce577,2024-12-23,13.5,6
e72724bd-7,7315a91b,2024-06-15,8.2,10
e34815e4-1,0b27b7b2,2024-08-10,37.0,7
eec3976c-4,0b27b7b2,2024-02-14,27.7,7
8ae7c068-0,0626fbea,2024-08-24,26.3,8
91790b17-1,0626fbea,2024-04-09,26.7,7
d0362c85-8,0626fbea,2024-12-29,8.4,8
780dd6c8-1,7ebf75e6,2024-02-16,43.3,8
4fa531b2-1,7ebf75e6,2024-01-20,43.9,5
47ba66c8-8,d593ed11,2024-12-27,9.4,10
52b89074-8,d593ed11,2024-09-26,12.3,8
66c3b2d1-5,5f7d9bf5,2024-01-03,20.6,6
bbd649a4-d,5f7d9bf5,2024-07-14,51.4,10
13179936-b,24844a1c,2024-02-03,54.5,8
1919117c-a,5f377da1,2024-04-04,45.9,8
c1b0c13c-5,9560d333,2024-04-05,20.5,7
5d8e4287-9,9560d333,2024-04-05,0.4,7
ac7a0cf1-8,2e66d0f1,2024-04-14,26.9,10
c05c70a3-a,2e66d0f1,2024-05-01,42.2,8
e16d19e5-5,2e66d0f1,2024-05-19,38.4,6
580ff76e-6,fde7740b,2024-04-17,1.5,5
cd940b85-b,fde7740b,2024-10-17,4.3,6
018685de-0,b469c032,2024-06-20,23.3,4
faf9f42c-9,b469c032,2024-11-29,51.5,10
0afb28bb-4,8f4dff55,2024-02-27,28.0,7
4def72fd-b,8f4dff55,2024-10-18,22.2,4
8623c1f4-0,704bd287,2024-07-19,28.0,2
3ee6caee-d,704bd287,2024-10-04,4.9,7
2bf04e38-8,704bd287,2024-08-06,40.9,4
dbbc6be0-a,c503b433,2024-03-08,56.1,8
e4162011-0,c503b433,2024-02-09,75.2,4
5324b7bb-e,6c14e8e0,2024-12-30,5.1,4
ed8dd31c-4,6c14e8e0,2024-05-09,5.2,5
b10cf0a1-1,6c14e8e0,2024-08-01,26.0,8
56241570-8,38862a19,2024-05-06,46.6,8
6ba72173-2,38862a19,2024-05-31,25.8,6
846ba419-3,1eb48437,2024-08-03,25.7,6
0f35daff-c,60ce30a6,2024-03-06,17.2,9
ed6e9b45-d,60ce30a6,2024-05-14,12.1,6
a08de749-9,83032d1c,2024-01-13,29.1,6
1ed7fe7b-1,81d7e188,2024-03-07,23.6,8
00b017bc-0,0600f2cb,2024-12-16,17.5,8
f24236e0-c,0600f2cb,2024-07-13,6.7,8
6c6ae340-5,0600f2cb,2024-11-16,24.9,8
b0b357a0-5,51c8f5c1,2024-07-04,43.1,7
c2444c21-9,51c8f5c1,2024-09-02,32.8,4
166dbeeb-b,3e80e22b,2024-05-26,1.0,8
9a3f4f4b-9,b25bac7a,2024-02-15,1.6,5
6cc49b34-6,b25bac7a,2024-03-06,39.3,7
9a88a2c9-8,b25bac7a,2024-03-23,42.7,4
50b1695e-b,a4ed7bd7,2024-06-03,3.3,6
ae4ef663-7,c37169b2,2024-12-22,38.4,7
56558850-4,c37169b2,2024-11-02,43.6,9
a05e3674-9,886d9003,2024-08-12,49.2,5
33712ad0-f,092c1a21,2024-08-05,51.3,6
4a476868-a,092c1a21,2024-09-07,8.6,5
d41f335d-5,afa1a065,2024-02-03,26.9,9
944b7af7-1,afa1a065,2024-10-03,2.5,5
ea7db138-8,9529f318,2024-08-22,61.5,7
eeaea535-e,9529f318,2024-07-13,25.2,6
68100904-2,9529f318,2024-11-20,19.6,5
326731fb-1,16529a8f,2024-04-05,14.1,7
6ab46f8f-2,16529a8f,2024-12-29,26.0,6
9a43a141-e,155c851d,2024-11-25,23.8,8
6be1befd-e,155c851d,2024-11-01,47.4,8
28a1436c-7,32447efe,2024-11-03,43.5,9
d32bc4c7-5,32447efe,2024-07-22,36.5,8
373f839b-0,32447efe,2024-11-15,13.3,7
85e419df-b,b1b634f2,2024-11-12,39.7,6
1adbc5a0-8,21d7d23d,2024-08-05,27.1,6
92716ed2-c,21d7d23d,2024-07-23,39.1,7
34025a53-1,2082de64,2024-03-06,12.3,6
a41fb00c-0,2082de64,2024-01-11,34.1,10
3629e2f9-7,f11e2366,2024-11-12,28.2,2
38f66e6a-8,f11e2366,2024-07-16,22.7,6
246ac35f-5,f11e2366,2024-08-24,73.9,4
8d9d007d-c,0c77def5,2024-06-19,56.7,8
5b439919-5,5a0e92c3,2024-05-06,17.3,4
70bc23e0-2,5a0e92c3,2024-05-11,13.3,6
f664c24a-e,7cff76c1,2024-01-25,18.0,6
4f3dcf75-6,7cff76c1,2024-06-08,39.6,10
dd235d8d-0,7cff76c1,2024-09-17,7.9,6
8bb011b5-7,3e808b0e,2024-05-25,26.4,9
de12e278-4,3e808b0e,2024-11-26,22.5,7
131e7610-5,3e808b0e,2024-06-02,60.0,7
63175d15-4,5f1df2c3,2024-03-02,35.8,6
608ee762-5,195d7300,2024-10-11,35.6,9
2ec2a955-1,9b6e63c7,2024-08-01,42.9,5
3c3b17c0-f,9b6e63c7,2024-02-02,48.2,9
e4c5f02d-a,9b6e63c7,2024-01-06,24.4,10
725aa59b-f,5a6a9b42,2024-01-20,25.0,8
c952a127-c,468963c0,2024-10-07,17.2,6
cb3db965-4,bcc3cc39,2024-08-19,26.9,8
472b3661-d,cf3ef4c6,2024-06-14,9.3,9
cfae27c1-4,49a9b8a2,2024-06-01,19.1,9
e731b464-4,b32dab1c,2024-08-25,18.2,7
8afa7efe-0,b32dab1c,2024-12-04,15.4,7
c6db3141-8,aef53179,2024-04-21,11.0,6
3f67ee9c-c,aef53179,2024-08-23,18.7,7
75cf0cf8-8,17ce15fb,2024-03-04,41.7,5
009a4fab-2,aeffa852,2024-08-17,65.9,8
cddd1887-d,aeffa852,2024-05-09,40.3,10
390e1917-5,aeffa852,2024-08-27,7.7,7
b739a45d-5,6e22ce06,2024-11-24,22.7,6
394280a5-2,6e22ce06,2024-08-01,34.4,7
d2ccfa50-5,6e22ce06,2024-12-20,5.6,6
715a4ffa-0,c73abe0c,2024-10-29,12.6,8
cc2da100-9,26dc29d9,2024-07-03,25.4,7
c283e47d-5,a23f7f09,2024-10-04,37.0,4
0163f728-6,a23f7f09,2024-03-13,22.3,6
db09b303-6,a23f7f09,2024-08-11,13.8,4
ceac8e4d-b,dbad52c3,2024-02-07,10.9,6
145a72ff-9,dbad52c3,2024-10-10,32.5,4
827caf31-d,4deeb5d8,2024-05-12,0.8,4
55b1e6a6-f,eba4f6b6,2024-05-19,42.7,7
62c93289-9,eba4f6b6,2024-08-03,24.3,9
a00e7b7c-1,2ce8b07f,2024-10-09,33.1,9
b723d5ff-f,2ce8b07f,2024-10-23,25.4,7
4817cad9-7,c3eba111,2024-08-26,21.7,6
241388be-6,c3eba111,2024-07-08,2.5,5
fce3f360-8,c3eba111,2024-10-31,38.8,10
8b057bbf-a,e33d7a86,2024-07-23,45.6,8
ed4381fe-d,81698a4f,2024-04-05,26.4,4
cab3dde6-5,81698a4f,2024-06-05,13.2,8
55ec71d1-d,81698a4f,2024-08-22,32.8,10
2bf3433e-3,f3c29284,2024-09-25,19.7,8
90500331-b,dbbf9bec,2024-09-03,0.6,7
9996deb0-a,dbbf9bec,2024-03-27,17.0,9
162ad27f-1,b9b8cee7,2024-10-09,38.3,5
6c0a9f7c-d,b9b8cee7,2024-05-19,33.5,5
ab598c07-5,b9b8cee7,2024-04-08,30.8,7
3ccde531-1,fb9bed8c,2024-11-13,4.5,7
947cd1ee-0,fb9bed8c,2024-01-09,23.6,7
f4f872cc-d,fb9bed8c,2024-04-14,6.9,7
cb31dabd-c,5d424c17,2024-12-02,43.3,5
8da0ba5a-f,5d424c17,2024-05-07,38.5,10
f4d4d1c8-1,8e79eede,2024-04-15,25.3,8
609523d2-8,8e79eede,2024-07-31,26.5,8
d4e7f1f6-8,33503439,2024-03-13,1.3,6
d62d68b3-7,a19ca986,2024-03-21,48.2,7
8dbeb59c-5,a19ca986,2024-08-17,5.0,5
fba95810-0,a19ca986,2024-01-21,26.2,7
5d043c7b-4,843ae383,2024-10-23,29.2,6
3a5fe5dd-9,7d488fc1,2024-05-12,25.7,4
0a2ab1d3-1,7d488fc1,2024-11-06,37.7,10
16160d17-9,8f0d8153,2024-04-21,28.6,8
0d936865-6,8f0d8153,2024-09-25,22.1,3
f936b038-6,8f0d8153,2024-04-12,20.5,10
984dc945-5,fc6e7412,2024-11-23,11.6,7
e4ce10c3-7,fc6e7412,2024-01-21,50.1,5
41b7b7eb-1,fc6e7412,2024-10-11,30.9,5
918283fd-4,f0ac8a58,2024-11-28,41.0,5
e5132dbd-2,f0ac8a58,2024-05-23,32.0,4
7fa5d425-a,330b1c38,2024-12-09,9.9,7
0d7fa780-c,330b1c38,2024-01-16,0.3,7
ca8b4e13-b,486084b3,2024-07-17,12.9,8
2ab7a73a-5,486084b3,2024-09-22,38.7,6
fa0cfa8e-1,486084b3,2024-07-09,5.2,5
34ec1c4e-1,b447dd70,2024-11-03,11.3,4
d94e0f7e-8,b447dd70,2024-10-13,16.9,6
6ccf4a97-3,b447dd70,2024-11-19,27.7,10
3fd26339-4,b7471ba2,2024-05-07,14.4,1
bef873b2-d,b7471ba2,2024-11-27,38.6,5
7245a527-8,b7471ba2,2024-04-25,13.4,7
4074812a-1,d748b033,2024-03-12,2.6,8
76b75859-2,d748b033,2024-05-15,15.0,3
1198cfc8-8,04290c1f,2024-12-29,27.9,5
27cf03bd-7,6f5c5996,2024-03-21,16.9,6
6abdca12-c,6f5c5996,2024-10-15,32.4,5
754c793d-0,e972b083,2024-10-04,19.4,7
f17c669d-5,e972b083,2024-08-23,53.0,5
35948cd1-4,7a7b85af,2024-01-20,5.6,7
5401bba8-3,7a7b85af,2024-11-04,33.9,5
35ff1571-c,7a7b85af,2024-12-26,48.7,8
3d6c7697-8,81edc25d,2024-02-14,5.6,6
0c620ea1-8,cbfd95d1,2024-04-02,46.4,7
0e4d9bb6-2,cbfd95d1,2024-09-05,25.6,5
ccf6a8ba-2,cbfd95d1,2024-09-12,48.2,4
5cbbda04-e,15853979,2024-01-05,29.4,9
0f7e462b-8,15853979,2024-04-05,39.7,9
a6cf7bd8-1,ef995013,2024-07-25,9.1,5
c5fb1c40-a,ef995013,2024-04-13,0.8,3
7eca9d37-b,ef995013,2024-07-11,45.3,7
e1874fec-0,8a89988e,2024-07-31,22.8,6
adb72dc2-c,8a89988e,2024-02-01,32.8,8
e75f0971-d,8a89988e,2024-01-05,11.3,6
5a0ca9ba-f,53952980,2024-05-25,44.1,10
9c323e29-b,0576c02f,2024-12-23,72.2,5
bd831f43-d,0576c02f,2024-05-04,4.0,5
f09e8d93-8,e3279743,2024-12-17,19.9,5
2025bec4-6,36d48fcb,2024-05-13,31.9,5
7f4f0c00-8,36d48fcb,2024-05-09,15.2,8
a421fb36-1,50d8c866,2024-03-19,17.7,5
7a53d981-7,50d8c866,2024-01-03,1.0,3
45cdb000-0,5db968e3,2024-03-04,9.1,4
f1915ff4-d,5db968e3,2024-09-11,5.7,7
3b3beb18-3,accfb7fa,2024-04-14,61.1,7
2a06501a-d,8edfa3a0,2024-06-06,32.1,8
09500b21-9,8edfa3a0,2024-02-27,11.4,8
f332dc40-8,8edfa3a0,2024-06-04,29.6,5
b4262903-6,db3b7be2,2024-09-20,15.0,10
523ae89c-3,db3b7be2,2024-04-20,26.8,4
a11d37fe-5,d1657949,2024-10-15,43.5,10
11b0f172-7,d1657949,2024-04-13,28.7,7
6f12034e-c,d1657949,2024-01-08,40.4,8
94e8157b-6,63de5af4,2024-09-27,7.7,3
12fd06c3-0,63de5af4,2024-06-01,20.5,7
a30c3fed-7,30e693ae,2024-01-18,11.0,7
