tx_id,customer_id,tx_date,amount,category,discount_pct,payment_method
51d9d94e-9,e6179507,2024-01-31,156.52,vegetables,5,transfer
83693383-5,e6179507,2024-07-19,632.7,bulk,10,cash
0aa3f459-4,4597e707,2024-05-03,524.85,vegetables,10,card
f461bc5d-3,4597e707,2024-10-29,297.27,vegetables,0,card
1242b82a-2,4597e707,2024-08-19,30.0,bulk,10,transfer
6e8a2719-0,4597e707,2024-03-12,389.55,vegetables,0,card
e7b81ff5-6,4597e707,2024-03-18,624.52,vegetables,0,cash
19ad682c-b,4597e707,2024-06-14,529.45,fruits,15,wallet
0aafa503-4,4597e707,2024-12-30,279.35,fruits,10,transfer
c3afff34-4,df830d14,2024-01-04,165.31,fruits,0,card
f92db836-2,df830d14,2024-07-18,489.98,vegetables,5,transfer
2bc18848-5,df830d14,2024-08-23,160.89,premium,15,cash
aa849d4a-9,df830d14,2024-06-21,301.59,premium,0,card
91ab75d3-4,df830d14,2024-07-11,521.28,fruits,0,transfer
37de15f8-e,df830d14,2024-09-24,460.17,vegetables,0,card
35fbfa79-3,df830d14,2024-11-17,605.23,vegetables,20,card
ace2db93-8,df830d14,2024-07-27,328.45,bulk,0,card
da2ddee8-f,df830d14,2024-05-23,238.39,fruits,15,card
1fb4415c-6,df830d14,2024-02-18,525.03,vegetables,5,transfer
662d16d8-d,df830d14,2024-12-21,30.0,vegetables,5,card
19b0e519-4,df830d14,2024-07-22,374.7,fruits,0,card
0a74e7d7-e,df830d14,2024-11-25,441.62,fruits,5,cash
0690a894-7,df830d14,2024-06-06,538.73,vegetables,0,card
73fecdcf-0,df830d14,2024-07-26,452.44,bulk,5,transfer
16336d52-6,df830d14,2024-01-19,426.05,vegetables,0,cash
ff95af59-6,df830d14,2024-08-05,299.69,fruits,0,card
fb495e56-9,df830d14,2024-07-21,472.0,vegetables,5,card
a4598917-0,df830d14,2024-12-12,282.43,premium,20,transfer
e7646aa2-9,df830d14,2024-07-25,362.76,vegetables,15,wallet
9527bb0e-5,df830d14,2024-02-21,300.7,premium,0,card
8d424968-0,cdc4b577,2024-11-06,615.78,vegetables,15,card
088fec98-0,cdc4b577,2024-04-27,447.28,bulk,10,card
b6c056dd-1,cdc4b577,2024-05-30,292.91,fruits,0,card
37356cba-d,cdc4b577,2024-01-29,344.31,vegetables,15,cash
ac4045bb-c,cdc4b577,2024-06-03,431.05,vegetables,0,card
747c602a-a,cdc4b577,2024-07-29,359.44,vegetables,0,cash
c47daf76-4,cdc4b577,2024-12-27,182.27,fruits,10,wallet
b16d8ab1-5,cdc4b577,2024-05-17,147.64,vegetables,0,card
0c54964f-b,cdc4b577,2024-01-20,146.9,vegetables,20,transfer
03b3155e-5,cdc4b577,2024-02-01,85.2,organic,5,card
5cb94815-4,cdc4b577,2024-08-03,394.64,fruits,0,card
69b47d31-7,cdc4b577,2024-06-26,468.96,fruits,10,transfer
384f585e-2,4197d03e,2024-11-28,427.61,fruits,15,cash
ac7d0ba9-7,558f6cd3,2024-07-15,121.62,fruits,10,wallet
f833b9fc-0,558f6cd3,2024-10-04,282.39,vegetables,15,cash
d34f4561-5,558f6cd3,2024-02-29,100.02,fruits,10,card
1b3782f5-0,558f6cd3,2024-09-22,90.01,fruits,0,card
45298e91-3,558f6cd3,2024-04-15,791.89,vegetables,0,card
2dc8c9bd-f,558f6cd3,2024-09-02,269.69,premium,0,wallet
e62a418e-0,558f6cd3,2024-05-29,376.94,vegetables,5,cash
13a47e90-8,558f6cd3,2024-08-05,272.34,vegetables,10,card
e8cab409-0,558f6cd3,2024-06-18,121.42,premium,10,card
96089c4a-5,558f6cd3,2024-08-10,30.0,organic,0,cash
30434c18-4,558f6cd3,2024-04-28,125.99,fruits,0,card
209c2365-f,558f6cd3,2024-03-29,51.9,fruits,5,card
f67be954-2,558f6cd3,2024-08-29,338.38,fruits,15,card
0c159e98-b,558f6cd3,2024-10-21,652.79,fruits,0,card
2cab1a37-4,558f6cd3,2024-01-10,647.17,organic,20,card
9f915e06-b,558f6cd3,2024-01-08,419.36,bulk,5,transfer
45df8d2f-2,558f6cd3,2024-09-21,603.79,fruits,15,wallet
e2fecdef-e,7798eb75,2024-09-22,383.04,fruits,10,card
f4ec1ab8-0,7798eb75,2024-07-26,243.53,vegetables,10,cash
0e75eb9a-2,7798eb75,2024-02-12,522.19,organic,0,transfer
13ade073-3,7798eb75,2024-02-21,231.27,fruits,0,transfer
ca388717-0,7798eb75,2024-03-11,519.98,fruits,0,card
9de692ed-9,7798eb75,2024-11-02,293.96,fruits,15,cash
1c591677-1,7798eb75,2024-12-30,413.76,vegetables,5,cash
3a5b3f08-3,7798eb75,2024-12-02,493.12,organic,20,cash
a035a15d-1,7798eb75,2024-11-15,448.52,fruits,0,transfer
4193d9b3-4,7798eb75,2024-01-08,606.82,fruits,20,card
759e8835-5,7798eb75,2024-02-06,612.24,vegetables,10,wallet
b0f07b13-e,7798eb75,2024-04-20,211.35,vegetables,20,card
cd29d002-5,7798eb75,2024-07-19,424.11,fruits,0,card
67a12e7e-f,7798eb75,2024-10-13,485.43,fruits,10,card
a3b986a9-1,7798eb75,2024-09-13,715.28,premium,5,card
08a42e11-7,7798eb75,2024-03-10,293.95,fruits,10,card
2324775a-5,7798eb75,2024-08-09,41.68,fruits,5,card
4677302b-3,79d44787,2024-11-28,274.34,fruits,0,transfer
136bfe4f-6,79d44787,2024-10-06,284.69,vegetables,0,card
cbcebef2-f,79d44787,2024-03-05,692.24,vegetables,5,card
ea8eef79-2,79d44787,2024-08-11,458.35,fruits,10,cash
1be76993-c,79d44787,2024-09-23,184.89,fruits,0,card
0d46325a-d,79d44787,2024-12-05,517.85,premium,10,card
face7816-5,79d44787,2024-11-19,169.34,fruits,10,card
7523d044-f,79d44787,2024-10-03,303.2,vegetables,10,transfer
623a078a-e,79d44787,2024-02-12,468.68,vegetables,15,wallet
b73a140c-b,79d44787,2024-08-03,204.83,fruits,0,transfer
37c9b55c-a,79d44787,2024-10-10,200.62,organic,5,wallet
787c4448-0,79d44787,2024-09-30,250.29,vegetables,5,card
9d796805-d,79d44787,2024-10-15,30.0,fruits,0,card
588c5ee5-1,79d44787,2024-11-22,348.15,fruits,5,wallet
606f45f0-e,79d44787,2024-03-25,472.28,vegetables,10,cash
2df07ab6-7,79d44787,2024-10-06,400.15,vegetables,10,card
bfd18cae-f,79d44787,2024-03-03,161.7,bulk,5,cash
63088217-b,79d44787,2024-10-31,539.36,fruits,10,cash
5fd04786-d,fc0bb4b2,2024-01-10,530.74,vegetables,10,card
6c72302f-8,fc0bb4b2,2024-07-30,178.08,bulk,0,wallet
91b18b04-2,fc0bb4b2,2024-02-17,337.91,vegetables,0,transfer
074b9262-9,fc0bb4b2,2024-04-18,603.68,fruits,0,transfer
12fbc028-4,fc0bb4b2,2024-08-13,335.26,premium,15,card
3b4e4e1c-b,fc0bb4b2,2024-07-05,487.54,premium,0,card
c2bc76cd-a,fc0bb4b2,2024-08-27,405.27,vegetables,5,card
0bc3befc-3,fc0bb4b2,2024-05-28,396.71,fruits,10,card
f194774a-3,fc0bb4b2,2024-01-16,121.68,vegetables,0,transfer
4afb218a-a,fc0bb4b2,2024-12-06,469.03,organic,15,card
92907994-3,fc0bb4b2,2024-01-29,188.27,fruits,0,cash
0a1361c3-5,fc0bb4b2,2024-09-01,108.7,premium,0,transfer
401d43f9-3,fc0bb4b2,2024-07-10,365.06,vegetables,5,transfer
22993b7b-f,fc0bb4b2,2024-06-04,134.88,fruits,0,card
5ed27e2b-1,f3aa4a72,2024-09-26,517.84,vegetables,0,transfer
8cf3620e-5,f3aa4a72,2024-03-05,139.58,fruits,5,card
7888c906-b,f3aa4a72,2024-10-16,516.11,vegetables,5,card
a15b6503-d,45263f10,2024-12-27,348.24,vegetables,0,transfer
7865336f-8,45263f10,2024-08-02,230.77,premium,0,transfer
8ef6e69a-d,45263f10,2024-02-07,470.94,premium,0,card
11ad0c6f-8,45263f10,2024-03-11,295.47,vegetables,15,wallet
d3036455-f,45263f10,2024-12-15,602.44,fruits,10,card
74315e8f-3,45263f10,2024-06-18,501.57,fruits,10,transfer
c047ca45-2,45263f10,2024-05-26,329.91,vegetables,10,card
7f668c99-3,45263f10,2024-04-01,865.0,premium,10,card
d9b4be00-3,45263f10,2024-05-27,106.46,fruits,5,cash
8dd74dd6-0,f5df6de4,2024-05-13,200.75,vegetables,10,card
899093c0-f,f5df6de4,2024-09-05,62.15,vegetables,5,cash
a58e2cbb-3,05d094e3,2024-07-23,306.67,fruits,0,card
57894763-d,05d094e3,2024-06-30,159.35,fruits,10,card
05df4901-3,05d094e3,2024-01-20,273.88,vegetables,0,card
9b86dee1-7,05d094e3,2024-07-12,466.23,vegetables,5,card
f272f443-0,05d094e3,2024-08-28,50.24,bulk,5,cash
91b46f9a-2,05d094e3,2024-01-23,366.76,vegetables,5,card
802a0f85-d,05d094e3,2024-09-23,467.28,vegetables,10,cash
fddceb91-a,05d094e3,2024-08-06,500.98,vegetables,0,card
0e7bc43e-9,05d094e3,2024-04-10,248.76,premium,10,transfer
71cdeb41-1,05d094e3,2024-03-09,579.95,fruits,10,wallet
dfbc5ddb-8,05d094e3,2024-02-04,449.43,vegetables,0,cash
253a3038-e,05d094e3,2024-01-21,423.21,vegetables,15,cash
2603856a-e,05d094e3,2024-11-22,260.9,vegetables,5,wallet
01db7bcf-5,05d094e3,2024-03-13,450.37,premium,0,cash
e1fb2584-9,05d094e3,2024-08-12,371.54,vegetables,10,card
29158e9d-3,05d094e3,2024-11-01,434.68,vegetables,10,cash
7974c94a-7,05d094e3,2024-10-17,581.3,vegetables,10,card
51bed0f7-4,05d094e3,2024-02-03,353.26,bulk,15,transfer
d8ec4150-0,05d094e3,2024-06-21,339.0,organic,5,card
de02df74-0,05d094e3,2024-06-13,322.21,organic,0,wallet
8aff956e-3,05d094e3,2024-01-20,309.0,vegetables,15,card
6cc31f6a-e,4f452839,2024-04-24,431.13,vegetables,5,card
262fdf06-1,4f452839,2024-09-02,226.81,fruits,0,cash
c69ca95f-e,4f452839,2024-06-16,226.77,organic,10,transfer
4fd3dc17-c,4f452839,2024-05-12,529.68,organic,15,transfer
b428d70c-2,4f452839,2024-07-17,445.74,fruits,15,card
d16f64c3-2,4f452839,2024-04-12,449.97,fruits,0,transfer
d3d4e5a3-d,4f452839,2024-04-05,400.17,bulk,10,card
eab2d0e9-1,4f452839,2024-11-27,108.1,vegetables,10,transfer
427783c5-0,4f452839,2024-02-18,616.02,vegetables,5,card
64e90bce-6,4f452839,2024-12-02,345.35,vegetables,15,cash
365c82f5-4,4f452839,2024-01-13,230.93,fruits,5,transfer
db59b7f7-c,4f452839,2024-11-19,648.38,premium,0,cash
64417d0c-c,4f452839,2024-10-11,188.62,fruits,5,transfer
84cc77d9-5,4f452839,2024-10-08,435.52,vegetables,10,card
6f8c2c42-1,4f452839,2024-06-25,551.04,organic,0,card
30a05295-b,4f452839,2024-03-22,641.46,fruits,20,cash
c5e3ddfa-1,4f452839,2024-01-10,698.04,bulk,0,transfer
2386c9cb-0,4f452839,2024-10-14,425.21,vegetables,10,cash
4ff96824-1,4f452839,2024-06-12,406.77,premium,10,transfer
ad864e0f-a,4f452839,2024-06-20,387.64,vegetables,5,card
0d3e1caf-a,4f452839,2024-04-01,222.46,fruits,15,card
59ab9b00-b,4f452839,2024-10-23,342.69,vegetables,0,transfer
71a016a8-d,c2bf4d98,2024-05-19,577.56,vegetables,5,transfer
fd605807-9,c2bf4d98,2024-09-11,572.93,premium,0,transfer
3df19321-e,c2bf4d98,2024-01-18,136.1,fruits,0,cash
4cb78ee9-f,c2bf4d98,2024-06-29,86.57,fruits,5,card
3c72c11b-7,c2bf4d98,2024-02-14,649.55,organic,10,card
1d2f1c0f-c,c2bf4d98,2024-09-01,326.84,bulk,15,card
bfc8e8d6-4,c2bf4d98,2024-08-08,156.86,organic,5,transfer
3fa43563-a,c2bf4d98,2024-05-02,294.9,fruits,0,transfer
99f16daa-2,c2bf4d98,2024-09-16,330.03,fruits,15,card
36057196-d,c2bf4d98,2024-11-05,206.82,vegetables,5,transfer
c2ee0096-d,c2bf4d98,2024-12-13,517.18,fruits,5,cash
aaf4f011-e,c2bf4d98,2024-01-08,639.91,bulk,10,card
0eb49b81-0,38fc9272,2024-02-14,469.35,vegetables,0,transfer
e305d754-b,38fc9272,2024-03-07,475.83,organic,0,wallet
86fe7da5-a,38fc9272,2024-08-25,224.45,fruits,10,transfer
ccb23590-4,74e4733e,2024-11-16,310.14,bulk,0,wallet
3a39dd32-9,74e4733e,2024-02-07,230.79,fruits,5,card
ba4b7676-2,74e4733e,2024-02-11,338.68,fruits,5,wallet
0fcc39c8-1,74e4733e,2024-03-17,291.23,bulk,5,cash
aa2e4c66-7,74e4733e,2024-09-14,80.78,fruits,0,transfer
574d7ca2-9,74e4733e,2024-01-14,350.6,premium,0,wallet
ab03d4e8-3,74e4733e,2024-01-16,803.38,vegetables,0,wallet
30f75583-b,74e4733e,2024-10-23,277.84,fruits,0,card
98ff1364-4,74e4733e,2024-12-29,119.48,vegetables,0,transfer
1036c495-7,74e4733e,2024-06-09,250.97,bulk,0,cash
d32b43f1-b,87427d51,2024-05-18,535.74,fruits,0,card
01a52944-8,87427d51,2024-09-09,209.26,vegetables,0,transfer
bd67f870-b,87427d51,2024-12-09,345.38,vegetables,0,transfer
a20c83eb-5,87427d51,2024-10-27,528.36,vegetables,0,card
ba08a766-f,87427d51,2024-02-08,201.0,organic,0,transfer
9907d765-7,87427d51,2024-10-17,535.03,fruits,0,cash
fcb8a845-a,87427d51,2024-11-04,402.57,fruits,0,card
25f29565-e,87427d51,2024-10-02,323.73,fruits,0,card
ad528f1d-4,87427d51,2024-06-14,30.0,vegetables,15,card
9ab2a07b-0,87427d51,2024-09-08,342.48,fruits,0,card
66f261eb-0,87427d51,2024-04-03,395.13,fruits,0,wallet
423dcce4-e,87427d51,2024-11-23,89.46,vegetables,5,cash
b14af274-1,87427d51,2024-09-04,509.45,vegetables,5,transfer
be50a144-3,87427d51,2024-11-14,214.99,vegetables,10,wallet
41808775-1,87427d51,2024-09-11,506.33,premium,0,cash
e95f1211-1,87427d51,2024-07-01,253.05,vegetables,0,card
700eda40-6,87427d51,2024-09-29,447.22,vegetables,10,card
36a7b2ad-3,87427d51,2024-06-15,325.63,vegetables,10,cash
08b38e85-e,87427d51,2024-09-04,184.33,bulk,10,cash
a81566ca-8,87427d51,2024-12-11,320.28,fruits,5,wallet
99b4b740-d,87427d51,2024-06-20,150.99,organic,0,cash
addcca14-2,87427d51,2024-03-20,473.59,bulk,20,card
f0e02edf-9,87427d51,2024-03-08,448.94,vegetables,5,card
916b6eaa-d,87427d51,2024-09-06,480.14,premium,5,cash
977d6ed5-2,9fd84730,2024-05-12,420.62,vegetables,5,card
3b7b1e3a-5,b696d650,2024-07-22,224.39,vegetables,10,card
b3c25968-3,b696d650,2024-02-12,230.28,fruits,10,wallet
17e7017c-c,b696d650,2024-05-05,526.16,fruits,10,transfer
25f38e3d-c,b696d650,2024-08-25,433.37,premium,0,card
8e8eee2e-a,b696d650,2024-02-19,294.0,organic,0,transfer
5198f9aa-d,b696d650,2024-01-16,731.59,fruits,0,wallet
5c52fd50-d,b696d650,2024-04-11,449.62,vegetables,0,cash
8a7cfd50-b,b696d650,2024-07-08,574.09,fruits,0,transfer
41d3ad8a-7,b696d650,2024-05-27,385.98,vegetables,0,transfer
4b206f9c-9,b696d650,2024-04-26,596.36,bulk,0,card
7922fadb-5,b696d650,2024-06-19,144.95,vegetables,0,card
bdf1f392-1,b696d650,2024-04-05,313.49,vegetables,0,cash
268c9dc8-f,b696d650,2024-07-01,475.18,fruits,15,wallet
5955e2f7-c,96f76e87,2024-12-26,363.65,premium,15,card
31e363cb-f,96f76e87,2024-12-16,242.59,fruits,0,transfer
b8e29430-7,96f76e87,2024-01-15,437.08,vegetables,0,cash
7d772fc2-f,96f76e87,2024-04-08,327.91,premium,5,cash
cc6ac331-9,96f76e87,2024-12-09,617.07,premium,0,card
1957369e-d,b04b301a,2024-10-22,346.55,fruits,10,cash
28f4cc5c-2,b04b301a,2024-07-15,538.42,bulk,0,card
107d30c1-f,b04b301a,2024-09-26,531.76,vegetables,10,transfer
6bc0fc71-7,b04b301a,2024-01-13,698.88,bulk,0,card
9ce4623d-1,b04b301a,2024-03-18,151.51,organic,15,cash
f22303aa-0,b04b301a,2024-04-26,361.61,vegetables,0,card
0bf8dd15-5,b04b301a,2024-07-11,261.67,bulk,0,card
d218a008-b,b04b301a,2024-03-14,309.04,vegetables,0,card
7c72d4f6-5,b04b301a,2024-11-28,240.38,organic,10,cash
e5de8383-a,b04b301a,2024-09-09,30.0,vegetables,15,card
63571a94-3,b04b301a,2024-12-26,358.91,vegetables,0,transfer
70b5a701-3,b04b301a,2024-12-05,379.74,fruits,5,card
85aa3d7f-b,b04b301a,2024-11-12,37.72,fruits,5,cash
ed0c7f92-f,6e324878,2024-11-29,246.96,fruits,0,card
519803a9-9,6e324878,2024-09-18,396.14,vegetables,5,card
bbf88c37-5,6e324878,2024-07-30,127.01,vegetables,5,card
e74756c1-2,6e324878,2024-09-19,282.09,fruits,10,card
99dea167-6,6e324878,2024-03-13,631.69,vegetables,15,cash
8f0b6ed6-2,6e324878,2024-01-24,613.57,fruits,0,card
01df232d-b,6e324878,2024-11-02,339.92,fruits,0,transfer
2c9cce53-d,6e324878,2024-04-25,328.57,premium,15,card
42247fc4-9,6e324878,2024-05-24,30.0,fruits,10,cash
3c2c1736-7,6e324878,2024-04-12,372.64,fruits,5,card
fd4199dc-a,6e324878,2024-04-27,392.22,fruits,5,wallet
d99604c4-b,6e324878,2024-11-02,109.83,fruits,5,card
aa880886-f,6e324878,2024-11-11,139.28,fruits,0,card
73a10625-0,6e324878,2024-09-07,298.72,fruits,5,card
bacdbaae-3,6e324878,2024-12-10,430.25,bulk,5,cash
8eab82ca-2,6e324878,2024-10-07,208.31,vegetables,10,card
75b1d635-f,6e324878,2024-06-30,501.83,fruits,10,cash
0e3ad1ec-2,327fedf4,2024-05-07,474.45,vegetables,0,cash
8dbc84aa-7,327fedf4,2024-05-14,328.78,vegetables,15,card
311c1579-a,327fedf4,2024-06-17,288.72,premium,0,transfer
ec7991af-4,327fedf4,2024-02-16,240.66,vegetables,10,transfer
e321d2fa-3,327fedf4,2024-10-19,371.62,bulk,5,wallet
26632a69-f,327fedf4,2024-04-17,347.97,vegetables,5,card
68fa397c-a,327fedf4,2024-03-19,319.59,premium,5,cash
5e68deb6-6,327fedf4,2024-09-17,377.77,bulk,20,card
b19d6f0a-0,327fedf4,2024-02-05,587.57,fruits,0,cash
dbd62526-2,327fedf4,2024-03-27,545.12,fruits,0,wallet
d233255a-2,327fedf4,2024-12-14,505.22,bulk,5,transfer
b2d1db6d-f,327fedf4,2024-10-08,111.2,organic,0,card
04221957-f,327fedf4,2024-08-08,256.8,vegetables,0,cash
664acb3f-4,327fedf4,2024-10-13,450.97,organic,0,card
1fe95230-5,327fedf4,2024-10-09,362.42,vegetables,0,cash
25a4c0ad-b,327fedf4,2024-12-15,83.51,fruits,20,card
96a499b4-b,327fedf4,2024-09-14,344.99,bulk,5,cash
1d8a4ef8-e,327fedf4,2024-10-09,179.39,fruits,5,card
98b7799a-c,874a580b,2024-05-24,30.0,organic,0,card
69ff076a-5,874a580b,2024-03-23,115.51,fruits,5,card
c3f2e97d-6,874a580b,2024-09-05,400.55,organic,0,transfer
ee18e9e1-7,874a580b,2024-05-16,252.39,fruits,0,card
498a5ac1-c,874a580b,2024-12-08,471.7,fruits,5,transfer
0d73e820-f,874a580b,2024-09-25,331.3,organic,15,wallet
905cc03d-5,874a580b,2024-03-06,30.0,fruits,20,card
a9614cfc-a,874a580b,2024-08-07,380.94,organic,20,cash
60c8ea73-8,874a580b,2024-04-12,107.87,premium,0,wallet
c500daaf-a,874a580b,2024-07-11,519.29,fruits,15,card
e2780140-4,874a580b,2024-08-28,511.08,premium,0,card
38dd23df-e,874a580b,2024-05-04,478.62,fruits,15,cash
6cc09836-9,874a580b,2024-04-02,480.8,premium,5,cash
fff401ab-0,874a580b,2024-10-15,120.45,vegetables,5,card
a828aec8-5,1efb46eb,2024-10-08,307.94,fruits,10,card
d8469df9-7,1efb46eb,2024-09-26,543.43,fruits,10,transfer
0bef5b8e-3,1efb46eb,2024-01-05,281.98,vegetables,5,cash
1588932a-f,1efb46eb,2024-02-12,355.0,fruits,0,cash
736f7552-3,1efb46eb,2024-01-04,508.03,fruits,10,transfer
d7a04f0d-1,1efb46eb,2024-06-13,402.59,vegetables,5,card
56481752-0,1efb46eb,2024-07-11,44.53,bulk,10,cash
193af780-f,1efb46eb,2024-06-28,291.51,organic,0,transfer
3ef5457e-0,1efb46eb,2024-11-26,54.66,bulk,10,card
83428e55-1,1efb46eb,2024-10-25,243.3,premium,0,transfer
296814fc-1,1efb46eb,2024-06-05,334.05,premium,0,card
b31c58e8-6,1efb46eb,2024-06-11,180.66,fruits,20,card
edfd48ea-9,1efb46eb,2024-02-02,442.35,premium,5,card
b3c77016-9,1efb46eb,2024-03-27,363.49,fruits,0,transfer
5efcff74-5,1efb46eb,2024-09-28,446.18,vegetables,15,card
37fd2660-6,1efb46eb,2024-07-24,96.87,vegetables,15,wallet
